What does the special keyword `initial` do to a property value?,"If you assign the value *initial* to a property, then it effectively resets to its default value. It’s like a hard-reset of that value. 

**WARNING** The initial keyword isn’t supported in any version of Internet Explorer or Opera Mini. It works in all other major browsers, including Edge, Microsoft's successor to IE11.

## Footnote

*Source: Keith J. Grant (2018). CSS in Depth. Manning Publications.*"
What are shorthand properties?,"Shorthand properties are properties that let you set the values of several other properties at one time. For example, *font* is a shorthand property that lets you set several font properties. This declaration specifies `font-style`, `font-weight`, `font-size`, `line-height`, and `font-family`:

```
font: italic bold 18px/1.2 ""Helvetica"", ""Arial"", sans-serif;
```

## Footnote

*Source: Keith J. Grant (2018). CSS in Depth. Manning Publications.*"
What is the problem with shorthand properties?,"Most shorthand properties let you omit certain values and only specify the bits you’re concerned with. It’s important to know, however, that doing this still sets the omitted values; they’ll be set implicitly to their initial value. This can silently override styles you specify elsewhere. If, for example, you were to use the shorthand `font` property for the page title without specifying a `font-weight`, a font weight of normal would still be set.

Of all the shorthand properties, `font` is the most egregious for causing problems, because it sets such a wide array of properties.

```
 .title {
  font: 32px Helvetica, Arial, sans-serif;
 }
```

is equivalent to

```
 .title {
  font-style: normal;
  font-variant: normal;
  font-weight: normal;
  font-stretch: normal;
  line-height: normal;
  font-size: 32px;
  font-family: Helvetica, Arial, sans-serif;
 }
```

## Footnote

*Source: Keith J. Grant (2018). CSS in Depth. Manning Publications.*"
"What is the TOP, RIGHT, BOTTOM, LEFT pattern of `margin` and `padding` shorthand properties?","For properties like `margin` and `padding`, or some of the border properties that specify values for each of the four sides of an element. For these properties, the values are in clockwise order, beginning at the top.

Properties whose values follow this pattern also support truncated notations. If the declaration ends before one of the four sides is given a value, that side takes its value from the opposite side. Specify three values, and the left and right side will both use the second one. Specify two values, and the top and bottom will use the first one. If you specify only one value, it will apply to all four sides.

## Footnote

*Source: Keith J. Grant (2018). CSS in Depth. Manning Publications.*"
What is the `:root` node selector?,"The root node is the ancestor of all other elements in the document. It has a special pseudo-class selector (`:root`) that you can use to target it. This is equivalent to using the type selector `html` with the specificity of a `class` rather than a `tag`.

## Footnote

*Source: Keith J. Grant (2018). CSS in Depth. Manning Publications.*"
What is a media query?,"media query—An `@media` rule used to specify styles that will be applied only to certain screen sizes or media types (for example, `print` or `screen`). This is a key component of responsive design.

```
@media (min-width: 800px) {
  :root {
    font-size: 0.875em;
   }
 }

@media (min-width: 1200px) {
  :root {
     font-size: 1em;
   }
 }
```

## Footnote

*Source: Keith J. Grant (2018). CSS in Depth. Manning Publications.*"
Why can it be confusing working with ***em*** units?,"One thing to keep in mind when using `em` is that when you set the `font-size` in it, it’s based on the nearest parent element with a declared font-size.

```
.parent { 
   font-size: 20px;
}

 .child { 
  /* This is based on 20px, so it's 30px */
    font-size: 1.5em;
 }
```

But when we size other things in `em`, it’s now based on the newly-adjusted `font-size` of the current element. For example:

```
.parent {
   font-size: 20px;
}
  
.child {
   /* This is based on 20px, so it's 30px */
     font-size: 1.5em;

    /* This is based on 1.5em (not 20px), so it's also 30px */
    border: 1em solid black;
}
```

It just can be weird to see two different em values in the same element evaluating to the same end value.

This is in addition to the fact that the cascading effect of `em`s is sometimes challenging in itself. If you size things inside components in ems and those components can be nested, that can cause cascading of sizes that may be undesirable.

## Footnote

*Source* [*css-tricks*](https://css-tricks.com/building-resizeable-components-relative-css-units/#aa-challenges-with-em)"

Question,Answer
selectors,selectors
Types of selectors,"**Simple selector**
A simple selector is a selector with a single component, such as a single type selector, attribute selector, or pseudo-class, that's not used in combination with or contains any other selector component or combinator. 

```
#myId {
}

[pattern*=""\d""] {
}
```

**Compound selector**
A compound selector is a sequence of simple selectors that are not separated by a combinator. A compound selector represents a set of simultaneous conditions on a single element. 

```
a#selected {
}

[type=""checkbox""]:checked:focus {
}
```

In a compound selector, the type selector or universal selector must come first in the sequence of selectors. Only one type selector or universal selector is allowed in the sequence. As whitespace represents the descendant combinator, no whitespace is allowed between the simple selectors that make up a compound selector.

**Complex selector**
A complex selector is a sequence of one or more *simple* and/or *compound* selectors that are separated by combinators, including the white space descendant combinator.

A complex selector represents a set of simultaneous conditions on a set of elements.

```
a#selected > .icon {
}

.box h2 + p {
}
```

Selectors can be read from right to left. For example, `a#selected > .icon` matches all elements with a class of `icon` that are the direct children of the `<a>` element with the id `selected`. The selector `.box h2 + p` matches the first `<p>`s to come immediately after any `<h2>` elements that are descendants of any element with the class of `box`.

**Relative selector**
A relative selector is a selector representing an element relative to one or more anchor elements preceded by a combinator. Relative selectors that don't begin with an explicit combinator have an implied descendant combinator.

```
+ div#topic > #reference {
}

> .icon {
}

dt:has(+ img) ~ dd {
}
```

**Selector list**
A selector list is a comma-separated list of simple, compound, and/or complex selectors. A given element is said to match a selector list when the element matches any (at least one) of the selectors in that selector list.

```
#main,
article.heading {
}
```

If any selector in a *non-forgiving selector list* is invalid, the entire selector list is invalidated.

```
#main,
:bad-pseudoclass,
.validClass {
  /* `:bad-pseudoclass` is invalid, invalidating this style block */
}
```

The [`:is()`](https://developer.mozilla.org/en-US/docs/Web/CSS/:is) and [`:where()`](https://developer.mozilla.org/en-US/docs/Web/CSS/:where) pseudo-classes can be used to construct *forgiving selector lists*.

## Footnote

[""Relative selector"" (MDN Web Docs).](https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_selectors/Selector_structure#relative_selector) Retrieved February 14, 2024."
What are *CSS atribute selectors*,"The CSS attribute selector matches elements based on the element having a given attribute explicitly set, with options for defining an attribute value or substring value match.

The case sensitivity of attribute names and values depends on the document language. In HTML, attribute names are case-insensitive.

If the attribute value is case-sensitive, like `class`, `id`, and `data-*` attributes, the attribute selector value match is case-sensitive. Attributes defined outside of the HTML specification, like `role` and `aria-*` attributes, are also case-sensitive. Normally case-sensitive attribute selectors can be made case-insensitive with the inclusion of the case-insensitive modifier (`i`).

```
/* <a> elements with a title attribute */
a[title] {
  color: purple;
}

/* <a> elements with an href matching ""https://example.org"" */
a[href=""https://example.org""]
{
  color: green;
}

/* <a> elements with an href containing ""example"" */
a[href*=""example""] {
  font-size: 2em;
}

/* <a> elements with an href ending "".org"", case-insensitive */
a[href$="".org"" i] {
  font-style: italic;
}

/* <a> elements whose class attribute contains the word ""logo"" */
a[class~=""logo""] {
  padding: 2px;
}
```

## Footnote

[""Attribute selectors - CSS: Cascading Style Sheets | MDN"" (MDN Web Docs).](https://developer.mozilla.org/en-US/docs/Web/CSS/Attribute_selectors) Retrieved February 8, 2024."
*CSS attribute selector* syntax,"**Syntax**

* `[attr]` - Represents elements with an attribute name of `attr`.
* `[attr=value]` - Represents elements with an attribute name of `attr` whose value is exactly `value`.
* `[attr~=value]` - Represents elements with an attribute name of `attr` whose value is a whitespace-separated list of words, one of which is exactly `value`.
* `[attr|=value]` - Represents elements with an attribute name of `attr` whose value can be exactly value or can begin with value immediately followed by a hyphen, `-` (`U+002D`). It is often used for language subcode matches.
* `[attr^=value]` - Represents elements with an attribute name of `attr` whose value is prefixed (preceded) by value.
* `[attr$=value]` - Represents elements with an attribute name of `attr` whose value is suffixed (followed) by value.
* `[attr*=value]` - Represents elements with an attribute name of `attr` whose value contains at least one occurrence of value within the string.
* `[attr operator value i]` - Adding an `i` (or `I`) before the closing bracket causes the value to be compared case-insensitively (for characters within the ASCII range).
* `[attr operator value s]` Experimental - Adding an `s` (or `S`) before the closing bracket causes the value to be compared case-sensitively (for characters within the ASCII range).

Examples:

```
a {
  color: blue;
}

/* Internal links, beginning with ""#"" */
a[href^=""#""] {
  background-color: gold;
}

/* Links with ""example"" anywhere in the URL */
a[href*=""example""] {
  background-color: silver;
}

/* Links with ""insensitive"" anywhere in the URL,
   regardless of capitalization */
a[href*=""insensitive"" i] {
  color: cyan;
}

/* Links with ""cAsE"" anywhere in the URL,
with matching capitalization */
a[href*=""cAsE"" s] {
  color: pink;
}

/* Links that end in "".org"" */
a[href$="".org""] {
  color: red;
}

/* Links that start with ""https://"" and end in "".org"" */
a[href^=""https://""][href$="".org""]
{
  color: green;
}
```

## Footnote

[""Attribute selectors - CSS: Cascading Style Sheets | MDN"" (MDN Web Docs).](https://developer.mozilla.org/en-US/docs/Web/CSS/Attribute_selectors) Retrieved February 8, 2024."
What is the specificity of an `attribute selector`?,"It has the same specificity than a [class selector](https://developer.mozilla.org/en-US/docs/Web/CSS/Class_selectors)

## Footnote

[""CLASS column"" (MDN Web Docs).](https://developer.mozilla.org/en-US/docs/Web/CSS/Specificity#class_column) Retrieved February 8, 2024."
What are *CSS class selectors*?,"The *CSS class selector* matches elements based on the contents of their [`class`](https://developer.mozilla.org/en-US/docs/Web/HTML/Global_attributes#class) attribute.

```
/* All elements with class=""spacious"" */
.spacious {
  margin: 2em;
}

/* All <li> elements with class=""spacious"" */
li.spacious {
  margin: 2em;
}

/* All <li> elements with a class list that includes both ""spacious"" and ""elegant"" */
/* For example, class=""elegant retro spacious"" */
li.spacious.elegant {
  margin: 2em;
}
```

## Footnote

[""Class selectors - CSS: Cascading Style Sheets | MDN"" (MDN Web Docs).](https://developer.mozilla.org/en-US/docs/Web/CSS/Class_selectors) Retrieved February 8, 2024."
Syntax of *CSS class selectors*,"**Syntax**

```
.class_name { style properties }
```

Note that this is equivalent to the following attribute selector:

```
[class~=class_name] { style properties }
```

Examples

```
.red {
  color: #f33;
}

.yellow-bg {
  background: #ffa;
}

.fancy {
  font-weight: bold;
  text-shadow: 4px 4px 3px #77f;
}
```

## Footnote

[""Class selectors - CSS: Cascading Style Sheets | MDN"" (MDN Web Docs).](https://developer.mozilla.org/en-US/docs/Web/CSS/Class_selectors) Retrieved February 8, 2024."
What are *CSS ID selectors*?,"The *CSS ID selector* matches an element based on the value of the element's `id` attribute. In order for the element to be selected, its id attribute must match exactly the value given in the selector.

```
/* The element with id=""demo"" */
#demo {
  border: red 2px solid;
}
```

## Footnote

[""ID selectors - CSS: Cascading Style Sheets | MDN"" (MDN Web Docs).](https://developer.mozilla.org/en-US/docs/Web/CSS/ID_selectors) Retrieved February 9, 2024."
*CSS ID selectors* syntax,"**Syntax**

```
#id_value { style properties }
```
Note that syntactically (but not specificity-wise), this is equivalent to the following attribute selector:

```
[id=id_value] { style properties }
```

Examples:

```
#identified {
  background-color: skyblue;
}
```

## Footnote

[""ID selectors - CSS: Cascading Style Sheets | MDN"" (MDN Web Docs).](https://developer.mozilla.org/en-US/docs/Web/CSS/ID_selectors) Retrieved February 9, 2024."
What is the *CSS `&` nesting selector*?,"The *CSS `&` nesting selector* explicitly states the relationship between parent and child rules when using [CSS nesting](https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_nesting). It makes the nested child rule selectors *relative to the parent element*. Without the `&` nesting selector, the child rule selector selects child elements. The child rule selectors have the same [specificity](https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_nesting/Nesting_and_specificity) weight as if they were within [`:is()`](https://developer.mozilla.org/en-US/docs/Web/CSS/:is).

**Note**: *Child rule* does not mean *child element selector*. A child rule can target parent element or child elements depending on use of the `&` nesting selector.

If not used in nested style rule, the `&` nesting selector represents the [scoping root](https://developer.mozilla.org/en-US/docs/Web/CSS/:scope).

## Footnote

[""& nesting selector - CSS: Cascading Style Sheets | MDN"" (MDN Web Docs).](https://developer.mozilla.org/en-US/docs/Web/CSS/Nesting_selector) Retrieved February 9, 2024."
*CSS `&` nesting selector* syntax,"**Syntax**

```
parentRule {
  /* parent rule style properties */
  & childRule {
    /* child rule style properties */
  }
}
```

With the `&` nesting selector added with no whitespace, the elements matched by the parent rule will be styled when hovered.

```
.parent-rule {
  /* parent rule properties */
  &:hover {
    /* child rule properties */
  }
}

/* the browser parses the above nested rules as shown below */
.parent-rule {
  /* parent rule properties */
}

.parent-rule:hover {
  /* child rule properties */
}
```

The `&` nesting selector can also be appended to reverse the context of the rules.

```
.card {
  /* .card styles */
  .featured & {
    /* .featured .card styles */
  }
}

/* the browser parses above nested rules as */

.card {
  /* .card styles */
}

.featured .card {
  /* .featured .card styles */
}
```

The `&` nesting selector can be placed multiple times:

```
.card {
  /* .card styles */
  .featured & & & {
    /* .featured .card .card .card styles */
  }
}

/* the browser parses above nested rules as */

.card {
  /* .card styles */
}

.featured .card .card .card {
  /* .featured .card .card .card styles */
}
```

## Footnote

[""& nesting selector - CSS: Cascading Style Sheets | MDN"" (MDN Web Docs).](https://developer.mozilla.org/en-US/docs/Web/CSS/Nesting_selector) Retrieved February 12, 2024."
What is a *CSS type selector*?,"The *CSS type selector* matches elements by node name. In other words, it selects all elements of the given type within a document.

```
/* All <a> elements. */
a {
  color: red;
}
```

Type selectors can be namespaced when using [`@namespace`](https://developer.mozilla.org/en-US/docs/Web/CSS/@namespace). This is useful when dealing with documents containing multiple namespaces such as HTML with inline SVG or MathML, or XML that mixes multiple vocabularies.

* `ns|h1` - matches `<h1>` elements in namespace `ns`
* `*|h1` - matches all `<h1>` elements
* `|h1` - matches all `<h1>` elements without any declared namespace

**Syntax**

```
element { style properties }
```

Examples

```
span {
  background-color: skyblue;
}
```

## Footnote

[""Type selectors - CSS: Cascading Style Sheets | MDN"" (MDN Web Docs).](https://developer.mozilla.org/en-US/docs/Web/CSS/Type_selectors) Retrieved February 12, 2024."
What are *universal selectors*?,"The *CSS universal selector* (`*`) matches elements of any type.

```
/* Selects all elements */
* {
  color: green;
}
```

The universal selector is a special type selector and can therefore be namespaced when using [@namespace](https://developer.mozilla.org/en-US/docs/Web/CSS/@namespace). This is useful when dealing with documents containing multiple namespaces such as HTML with inline SVG or MathML, or XML that mixes multiple vocabularies.

* `ns|*` - matches all elements in namespace `ns`
* `*|*` - matches all elements
* `|*` - matches all elements without any declared namespace

**Syntax**

```
* { style properties }
```

The asterisk is optional with simple selectors. For instance, `*.warning` and `.warning` are equivalent.

Examples:

```
* [lang^=""en""] {
  color: green;
}

*.warning {
  color: red;
}

*#maincontent {
  border: 1px solid blue;
}

.floating {
  float: left;
}

/* automatically clear the next sibling after a floating element */
.floating + * {
  clear: left;
}
```

## Footnote

[""Universal selectors - CSS: Cascading Style Sheets | MDN"" (MDN Web Docs).](https://developer.mozilla.org/en-US/docs/Web/CSS/Universal_selectors) Retrieved February 12, 2024."

Question,Answer
combinators,combinators
*CSS Child combinator* (`>`),"The *child combinator* (`>`) is placed between two CSS selectors. It matches only those elements matched by the second selector that are the direct children of elements matched by the first.

```
/* List items that are children of the ""my-things"" list */
ul.my-things > li {
  margin: 2em;
}
```

Elements matched by the second selector must be the immediate children of the elements matched by the first selector. This is stricter than the [*descendant combinator*](https://developer.mozilla.org/en-US/docs/Web/CSS/Descendant_combinator), which matches all elements matched by the second selector for which there exists an ancestor element matched by the first selector, regardless of the number of ""hops"" up the DOM.

**Syntax**

```
/* The white space around the > combinator is optional but recommended. */
selector1 > selector2 { /* style properties */ }
```

Examples:

```
span {
  background-color: aqua;
}

div > span {
  background-color: yellow;
}
```

## Footnote

[""Child combinator - CSS: Cascading Style Sheets | MDN"" (MDN Web Docs).](https://developer.mozilla.org/en-US/docs/Web/CSS/Child_combinator) Retrieved February 13, 2024."
"*CSS Descendant combinator* (`"" ""`)","The *descendant combinator* — typically represented by a single space (`"" ""`) character — combines two selectors such that elements matched by the second selector are selected if they have an ancestor (parent, parent's parent, parent's parent's parent, etc.) element matching the first selector. Selectors that utilize a descendant combinator are called descendant selectors.

```
/* List items that are descendants of the ""my-things"" list */
ul.my-things li {
  margin: 2em;
}
```

The descendant combinator is technically one or more CSS white space characters — the space character and/or one of four control characters: carriage return, form feed, new line, and tab characters — between two selectors in the absence of another combinator. Additionally, the white space characters of which the combinator is comprised may contain any number of CSS comments.

**Syntax**

```
selector1 selector2 {
  /* property declarations */
}
```

Examples:

```
li {
  list-style-type: disc;
}

li li {
  list-style-type: circle;
}
```

## Footnote

[""Descendant combinator - CSS: Cascading Style Sheets | MDN"" (MDN Web Docs).](https://developer.mozilla.org/en-US/docs/Web/CSS/Descendant_combinator) Retrieved February 13, 2024."
*CSS Namespace separator* (`|`),"The *namespace separator* (`|`) separates the selector from the namespace, identifying the namespace, or lack thereof, for a type selector.

```
/* Links in the namespace named myNameSpace */
myNameSpace|a {
  font-weight: bold;
}
/* paragraphs in any namespace (including no namespace) */
*|p {
  color: darkblue;
}
/* heading level 2 not in a namespace */
|h2 {
  margin-bottom: 0;
}
```

[Type selectors](https://developer.mozilla.org/en-US/docs/Web/CSS/Type_selectors) and the [universal selector](https://developer.mozilla.org/en-US/docs/Web/CSS/Universal_selectors) allow an optional namespace component. When a namespace has been previously declared via `@namespace`, these selectors can be namespaced by prepending the selector with the name of the namespace separated by the namespace separator (`|`). This is useful when dealing with documents containing multiple namespaces such as HTML with inline SVG or MathML, or XML that mixes multiple vocabularies.

* `ns|h1` - matches `<h1>` elements in namespace `ns`
* `*|h1` - matches all `<h1>` elements
* `|h1` - matches all `<h1>` elements outside of any declared or implied namespace

**Syntax**

```
namespace|element { style properties }
```

## Footnote

[""Namespace separator - CSS: Cascading Style Sheets | MDN"" (MDN Web Docs).](https://developer.mozilla.org/en-US/docs/Web/CSS/Namespace_separator) Retrieved February 13, 2024."
Explain `HTML` or `SVG` element default namespaces,"By default, all elements in an `HTML` or `SVG` element have a namespace as the http://www.w3.org/1999/xhtml and http://www.w3.org/2000/svg namespace are implied. The `document.createElementNS` method, with an empty string for the namespace parameter, can be used to create elements with no namespace.

Example:

**HTML**

```
<p>This paragraph <a href=""#"">has a link</a>.</p>

<svg width=""400"" viewBox=""0 0 400 20"">
  <a href=""#"">
    <text x=""0"" y=""15"">Link created in SVG</text>
  </a>
</svg>
```

**CSS**

The CSS declares two namespaces, then assigns styles to links globally (`a`), to links in no namespace (`|a`), to links in any namespace or no namespace (`*|a`), and then to two different named namespaces (`svgNamespace|a` and `htmlNameSpace|a`).

```
@namespace svgNamespace url(""http://www.w3.org/2000/svg"");
@namespace htmlNameSpace url(""http://www.w3.org/1999/xhtml"");
/* All `<a>`s in the default namespace, in this case, all `<a>`s */
a {
  font-size: 1.4rem;
}
/* no namespace */
|a {
  text-decoration: wavy overline lime;
  font-weight: bold;
}
/* all namespaces (including no namespace) */
*|a {
  color: red;
  fill: red;
  font-style: italic;
}
/* only the svgNamespace namespace, which is <svg> content */
svgNamespace|a {
  color: green;
  fill: green;
}
/* The htmlNameSpace namespace, which is the HTML document */
htmlNameSpace|a {
  text-decoration-line: line-through;
}
```

## Footnote

[ ""Named namespaces""](https://developer.mozilla.org/en-US/docs/Web/CSS/Namespace_separator#named_namespace_example) Retrieved February 13, 2024."
How do you create *default namespace* elements and how do you target them?,"No namespaces are explicitly declared in the HTML or within the SVG.

**HTML**

```
<p><a href=""#"">A link</a> in the implied HTML namespace.</p>

<svg width=""400"" viewBox=""0 0 400 20"">
  <a href=""#"">
    <text x=""0"" y=""15"">Link created in SVG namespace</text>
  </a>
</svg>
```

**JavaScript**
With JavaScript, with `document.createElementNS`, we create an anchor link without a namespace, then append the link.

```
// create 'no namespace' anchor
const a = document.createElementNS("""", ""a"");
a.href = ""#"";
a.appendChild(document.createTextNode(""Link created without a namespace""));
document.body.appendChild(a);
```

**CSS**
We declare a namespace with `@namespace`. By omitting the name for the namespace, the `@namespace` declaration creates a default namespace.

```
/* By omitting a name, this sets SVG as the default namespace */
@namespace url(""http://www.w3.org/2000/svg"");

/* `<a>` in the default (set to SVG) namespace */
a {
  font-size: 1.4rem;
}

/* `<svg>` and `<p>` in the default (set to SVG) namespace */
svg,
p {
  border: 5px solid gold;
}

/* links outside of any namespace */
|a {
  text-decoration: wavy underline purple;
  font-weight: bold;
}

/* links with any namespace or no namespace */
*|a {
  font-style: italic;
  color: magenta;
  fill: magenta;
}
```

The selector with no namespace separator, the `a`, matched only the SVG `<a>` elements, as SVG was set as the default namespace.

The selector with no namespace, the `|a`, matched the JavaScript defined and appended `<a>`, as that node is the only node that doesn't have a default namespace.

## Footnote

[""Default namespace and no namespace"" (MDN Web Docs).](https://developer.mozilla.org/en-US/docs/Web/CSS/Namespace_separator#default_namespace_and_no_namespace) Retrieved February 13, 2024."
*CSS Next-sibling combinator* (`+`),"The next-sibling combinator (`+`) separates two selectors and matches the second element only if it immediately follows the first element, and both are children of the same parent element.

```
/* Paragraphs that come immediately after any image */
img + p {
  font-weight: bold;
}
```

**Syntax**

```
/* The white space around the + combinator is optional but recommended. */
former_element + target_element { style properties }
```

Examples:

```
/* Targets the second li element of a list */
li:first-of-type + li {
  color: red;
}
```

## Footnote

[""Next-sibling combinator - CSS: Cascading Style Sheets | MDN"" (MDN Web Docs).](https://developer.mozilla.org/en-US/docs/Web/CSS/Next-sibling_combinator) Retrieved February 14, 2024."
"*CSS Selector list* (`,`)","The *CSS selector list* (`,`) selects all the matching nodes. A selector list is a comma-separated list of selectors.

When multiple selectors share the same declarations, they can be grouped together into a comma-separated list. Selector lists can also be passed as parameters to some functional CSS pseudo-classes. White space may appear before and/or after the comma.

The following three declarations are equivalent:

```
span {
  border: red 2px solid;
}
div {
  border: red 2px solid;
}

span,
div {
  border: red 2px solid;
}

:is(span, div) {
  border: red 2px solid;
}
```

## Footnote

[""Selector list - CSS: Cascading Style Sheets | MDN"" (MDN Web Docs).](https://developer.mozilla.org/en-US/docs/Web/CSS/Selector_list) Retrieved February 14, 2024."
What is the problem with invalid *selector lists*?,"An invalid selector represents, and therefore matches, nothing. When a selector list contains an invalid selector, the entire style block is ignored, except for the [`:is()`](https://developer.mozilla.org/en-US/docs/Web/CSS/:is) and [`:where()`](https://developer.mozilla.org/en-US/docs/Web/CSS/:where) pseudo-classes that accept [forgiving selector lists](https://developer.mozilla.org/en-US/docs/Web/CSS/Selector_list#forgiving_selector_list).

A single unsupported selector in the selector list invalidates the entire rule.

Consider the following two CSS rule sets:

```
h1 {
  font-family: sans-serif;
}
h2:invalid-pseudo {
  font-family: sans-serif;
}
h3 {
  font-family: sans-serif;
}
```

and

```
h1,
h2:invalid-pseudo,
h3 {
  font-family: sans-serif;
}
```

They are not equivalent. In the first rule set, styles will be applied on the `h1` and `h3` elements, but the `h2:invalid-pseudo` rule will not be parsed. In the second rule set, because one selector in the list is invalid, the entire rule will not be parsed. Because of this, no style will be applied to the `h1` and `h3` elements as when any selector in a list of selectors in invalid, the entire style block will be ignored.

## Footnote

[""Valid and invalid selector lists"" (MDN Web Docs).](https://developer.mozilla.org/en-US/docs/Web/CSS/Selector_list#valid_and_invalid_selector_lists) Retrieved February 14, 2024."
